name,articul,price,gb,screen
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6"" FHD,RUS,DOS HDMI, BLACK",284444,21075,4GB,"15.6"""
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB HDD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",259384,22028,4GB,"14.0"""
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",240497,22517,4GB,"14.0"""
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB HDD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",259385,22517,4GB,"14.0"""
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, BLACK",230856,22688,4GB,"15.6"""
"ASUS E410 KA-CL4128, Intel Celeron N4500 (Up to 2.8GHz), 4GB RAM, 128GB eMMC, 14’’FHD, Intel UHD Graphics, HDMI, Wi-Fi, BT, Type-C, MicroSD card reader, WIN11H, Star Black, RUS/ENG,",290610,22909,4GB,None
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, BLACK",217402,23193,4GB,"15.6"""
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6"" FHD,RUS,DOS HDMI, BLACK",230980,23193,4GB,"15.6"""
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",240498,23496,4GB,"14.0"""
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK",223479,23697,4GB,"15.6"""
