name,articul,price,gb,screen
"Планшет 10.1"" Lenovo Tab MediaTek Helio G85 (8C, 2x A75 @2.0GHz+6x A55 @1.8GHz), 4GB,128GB eMMC,Int Arm Mali-G52 MC2 GPU, WUXGA (1920x1200) TFT LCD (IPS) 60Hz, 4G, WiFi, BТ, GPS+GLONAS +Galileo+Beidou+A-GPS,USB-C,Android 14, Metal Luna Grey [ZAEJ0000AE]",289081,17524,4GB,"10.1"""
Apple iPad 11 (A16) 128GB Wi-Fi (SILVER),290600,45308,128GB,None
Apple iPad 11 (A16) 256GB Wi-Fi (BLUE),290604,58544,256GB,None
"Apple iPad Air 11"" M4, 128 GB (2026) (Gray)",290595,78972,128 GB,"11"""
"Apple iPad Pro 13"" M5 (9СPU, 10GPU) MDYJ4 256GB Space Black",291479,146948,256GB,"13"""
"Планшет 10.1"" Lenovo Tab MediaTek Helio G85 (8C, 2x A75 @2.0GHz+6x A55 @1.8GHz), 4GB,128GB eMMC,Int Arm Mali-G52 MC2 GPU, WUXGA (1920x1200) TFT LCD (IPS) 60Hz, 4G, WiFi, BТ, GPS+GLONAS +Galileo+Beidou+A-GPS,USB-C,Android 14, Metal Luna Grey [ZAEJ0000AE]",289081,17524,4GB,"10.1"""
Apple iPad 11 (A16) 128GB Wi-Fi (SILVER),290600,45308,128GB,None
Apple iPad 11 (A16) 256GB Wi-Fi (BLUE),290604,58544,256GB,None
"Apple iPad Air 11"" M4, 128 GB (2026) (Gray)",290595,78972,128 GB,"11"""
"Apple iPad Pro 13"" M5 (9СPU, 10GPU) MDYJ4 256GB Space Black",291479,146948,256GB,"13"""
