name,articul,price,gb,screen
"YASIN LED TV 32E9000 32"" HD 1366x768,450 cd/m2 Smart 1000000:1 6ms DVB-T2/C/S2 2xHDMI,USB,WIFI",292614,9232,None,"32"""
"YASIN LED TV 32G11 32"" 1366x786, Android 450 cd/m2 1000000:1 6ms 178/178 WiFi",236361,11495,None,"32"""
"YASIN LED TV 43E9000 43"" HD 1920x1080,450 cd/m2 Smart 1000000:1 6ms DVB-T2/C/S2 2xHDMI,VGA,USB,WIFI",276610,14722,None,"43"""
"YASIN LED TV 43UD81 43"" FHD 1920x1080, WebOS 450 cd/m2 1000000:1 6ms 178/178 DVB-T2/C/S2 WiFi",234758,17041,None,"43"""
Телевизор LG 32LQ630B6LA,221280,18490,None,None
Телевизор Hisense 32A5Q,290262,19990,None,None
"YASIN LED TV 50UD81 50"" 4K UHD 3840x2160, WebOS 450 cd/m2 1000000:1 6ms 178/178 WiFi",260821,24604,None,"50"""
Телевизор Hisense 43E7Q,290263,27990,None,None
"YASIN LED TV 55UD81 55"" 4K UHD 3840x2160, WebOS 450 cd/m2 1000000:1 6ms 178/178 WiFi",269537,28739,None,"55"""
Телевизор Hisense 50E7S,290264,30990,None,None
"Телевизор Hisense 43E7Q 43"" 4K Ultra HD (3840x2160) QLED DLED, 60 Гц, Smart VIDAA, 14Вт, 178°, Wi-Fi, Bluetooth, DVB-T2/T/C/S2/S, RJ45, HDMIx3, USBx2",292697,31328,None,"43"""
"YASIN LED TV 55Q90 55"" 4K UHD 3860×2160, Android 11 + GoogleTV 450 cd/m2 1000000:1 6ms 178/178 WiFi",252188,31663,None,"55"""
Телевизор LG 43UA75009LA,287547,32990,None,None
"Телевизор Hisense 50E7S 50"" 4K Ultra HD (3840x2160) QLED DLED, 60 Гц, Smart VIDAA, 20Вт, 178°, Wi-Fi, Bluetooth, DVB-T2/T/C/S2/S, CI+, RJ45, HDMIx3, USBx2",292698,33776,None,"50"""
Телевизор Hisense 55E7S,290265,34490,None,None
"Телевизор Hisense 55E7S 55"" 4K Ultra HD (3840x2160) QLED DLED, 60 Гц, Smart VIDAA, 20Вт, 178°, Wi-Fi, Bluetooth, DVB-T2/T/C/S2/S, CI+, RJ45, HDMIx3, USBx2",292699,37692,None,"55"""
Телевизор Samsung UE43U8000FUXCE,282266,38990,None,None
"YASIN LED TV 65Q90 65"" 4K UHD 3840x2160, Android 11 + GoogleTV 450 cd/m2 1000000:1 6ms 178/178 WiFi",257394,41242,None,"65"""
Телевизор Haier 55 Smart TV S4,273072,45990,None,None
Телевизор Samsung UE50U8000FUXCE,282267,47990,None,None
Телевизор Samsung QE50Q7FAAUXCE,282257,52990,None,None
Телевизор Hisense 55E8Q,290266,54990,None,None
Телевизор Haier 55 Smart TV AX Pro,228305,61990,None,None
Телевизор Samsung QE55Q7FAAUXCE,282258,62990,None,None
Телевизор Hisense 75E7Q,282255,63990,None,None
Телевизор Hisense 65E8Q,290267,66990,None,None
Телевизор LG 50QNED80A6A,274977,69990,None,None
Телевизор Samsung UE65U8000FUXCE,282269,74990,None,None
Телевизор Samsung UE65M70HAUXCE,292125,80990,None,None
Телевизор Samsung QE65Q7FAAUXCE,282259,82990,None,None
Телевизор Hisense 85E7Q,282256,97990,None,None
Телевизор LG OLED48C5RLA,277392,111990,None,None
Телевизор Haier 65 OLED S9,273073,123990,None,None
Телевизор Samsung QE55LS03FAUXCE,286205,124990,None,None
Телевизор LG 75QNED80A6A,274982,126990,None,None
Телевизор LG OLED55C5RLA,277393,136990,None,None
Телевизор Samsung QE55S85HAEXCE,292123,142990,None,None
Телевизор Hisense 100E7Q PRO,280834,187990,None,None
Телевизор Samsung QE65S85HAEXCE,292124,187990,None,None
Телевизор Samsung QE65S85FAEXCE,282260,200990,None,None
Телевизор LG OLED77C5RLA,288306,279990,None,None
Телевизор Samsung QE77S85FAEXCE,282263,286990,None,None
Телевизор LG OLED77G5RLA,277396,320990,None,None
"YASIN LED TV 32E9000 32"" HD 1366x768,450 cd/m2 Smart 1000000:1 6ms DVB-T2/C/S2 2xHDMI,USB,WIFI",292614,9232,None,"32"""
"YASIN LED TV 32G11 32"" 1366x786, Android 450 cd/m2 1000000:1 6ms 178/178 WiFi",236361,11495,None,"32"""
"YASIN LED TV 43E9000 43"" HD 1920x1080,450 cd/m2 Smart 1000000:1 6ms DVB-T2/C/S2 2xHDMI,VGA,USB,WIFI",276610,14722,None,"43"""
