name,articul,price,gb,screen
"Acer TravelMate TMB118-M Black Intel Quad Core N4120 (up to 2.6Ghz), 4GB, 64GB eMMC, Intel HD Graphics, 11.6"" LED, WiFi, BT, Cam, Eng-Rus",193398,20559,4GB,"11.6"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 8GB DDR4, 128GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276590,41608,8GB,"14"""
"Ультрабук Lenovo IP 5 Chrome 16IAU7 Intel Core i3-1215U (up to 4.4Ghz), 8GB DDR5, 128GB eMMC, Intel UHD Graphics, 16"" WQXGA IPS 120Hz, Type-C, HDMI, WF, BT, ChromeOS, клав. ENG-RUS, подсветка ENG, серый [82V80009UX]",281826,43076,8GB,"16"""
"Acer Gadget ETPad Max i3-1315U 1.2-4.5GHz,16GB,SSD 512GB,IPS 13"" 2K Detouchable Tablet,Win 11H,Black",290377,43763,16GB,"13"""
"Acer Gadget ETbook Max i5-1235U 1.3-4.4GHz,4GB,SSD 512GB,15.6"" FHD,RUS,GREY",283444,44772,4GB,"15.6"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 8GB DDR4, 256GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276592,47090,8GB,"14"""
"Acer Gadget ETbook Max i5-1235U 1.3-4.4GHz,8GB,SSD 512GB,15.6"" FHD,RUS,GREY",283445,48301,8GB,"15.6"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 8GB DDR4, 256GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278307,48754,8GB,"14.0"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 12GB DDR4, 256GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276579,49244,12GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 8GB DDR4, 512GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276593,51300,8GB,"14"""
"ASUS X1404VA-EB1183, Intel Core 5-120U (12M Cache, Up to 5.0 GHz), 8GB DDR4, 512GB SSD, 14"" FHD (1920 x 1080) IPS, Intel Graphics, HDMI 1.4, Wi-Fi 6, BT 5.2, Fingerprint, Backlit Keyboard, Windows 11 Home, Quiet Blue, RUS/ENG [ 90NB13U2-M00J80]",291810,52130,8GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 12GB DDR4, 512GB SSD m2 NVMe, 14"" FHD. Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276580,53356,12GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 16GB DDR4, 256GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276582,53356,16GB,"14"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 16GB DDR4, 256GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278300,54530,16GB,"14.0"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 8GB DDR4, 512GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278308,54530,8GB,"14.0"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 12GB DDR4, 512GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278298,54824,12GB,"14.0"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 16GB DDR4, 512GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276583,57467,16GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 8GB DDR4, 1TB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276591,59523,8GB,"14"""
"Lenovo IdeaPad 5 / CPU : Intel Core Ultra 5 225U (12 Ядер) / Ram : 8 GB DDR5 (4800 MHz) / SSD : 512 GB PCIe NVMe M2 G4 / LCD : 14"" WUXGA IPS (Сенсорный) X360 / Integrated Intel Arc Graphics (4 cores) / Keyboard : English (С подсветкой) / OS : Windows 10 Home / US Plug / Colour : Luna Grey",291878,59915,8 GB,"14"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 16GB DDR4, 512GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278302,60306,16GB,"14.0"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 12GB DDR4, 1TB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276578,60698,12GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 24GB DDR4, 256GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276585,60894,24GB,"14"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 8GB DDR4, 1TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278306,62264,8GB,"14.0"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 12GB DDR4, 1TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278296,62558,12GB,"14.0"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 24GB DDR4, 512GB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276586,65104,24GB,"14"""
"Ноутбук ASUS Vivobook 14 X1404VA-I38128 Intel Core i3-1315U (up to 4.5Ghz), 16GB DDR4, 1TB SSD m2 NVMe, 14"" FHD, Type-C, HDMI, WiFi, BT, WIN11H, ENG-RUS, темно синий",276581,65789,16GB,"14"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 24GB DDR4, 512GB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278305,67453,24GB,"14.0"""
"Ноутбук ASUS VIVOBOOK 14 X1404VA-I512256 Intel i5-1334U(up to 4.6GHz) 16GB DDR4, 1TB SSD NVMe, 14.0"" FHD, Intel Iris Xe Graphics, WF, BT, HDMI, Type-C, WIN11H, ENG-RUS, темно синий",278299,68138,16GB,"14.0"""
"Ультрабук Dell Inspiron 5441-SX8685GRY Copilot+ Snapdragon® X Plus X1P 42 100 (up to 3.20GHz), 16GB DDR4, 1TB SSD, Qualcomm® Adreno™ GPU, 14"" WUXGA (1920 x 1200), WiFi ax, BT 5.0, HD WC, CR, Win11, Backlit Русская клавиатура, GRAY",288809,68236,16GB,"14"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 256GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboa",291070,69134,8GB,"14.0"""
